1.1208e+06,7.8075e+05,80523,1.1714e+05,1.1732e+05,1.1732e+05
5.0944e+05,3.5489e+05,2168.8,3154.7,3155.4,3160.2
5.6038e+05,2.5186e+05,20131,29284,29331,58662
2.5472e+05,1.1448e+05,542.19,788.68,788.85,287.29
3.0416e-12,5.83e-14,6.2502e-15,1.7944e-15,1.7955e-15,5.8336e-14
4.8861e+26,3.786e+27,1.5437e+27,2.412e+27,1.5437e+27,1.5437e+27
0.125,0.4589,0.5625,0.5625,0.5625,0.45455
0.14864,0.17948,234.19,34.13,21.782,728.71
215.29,241.56,0.20496,1.4064,2.2037,0.079842
2.6911,2.2287,0.01708,0.1172,0.018364,0.054892
0.81601,0.7379,0.016529,0.097331,0.01773,0.049807
0.012372,0.044846,0.035991,0.18187,0.0038514,0.82169
0.12372,0.44846,0.035991,0.18187,0.038514,0.082169
0.12339,0.45198,0.56244,0.56238,0.56238,0.45455
0.15056,0.18219,234.22,34.137,21.786,728.71
212.51,237.92,0.20494,1.4061,2.2032,0.079842
2.6568,2.1955,0.017078,0.11717,0.01836,0.054892
0.81051,0.73193,0.016527,0.097314,0.017726,0.049807
0.012203,0.044115,0.035984,0.1818,0.0038498,0.82169
0.12203,0.44115,0.035984,0.1818,0.038498,0.082169
